Roblox Universe,,,,,,,,,
Bloxburg,Bloxy,Riverside,,,,,,,
Meepcity,Meeps,Non - Meeps,,,,,,,
Adopt Me,Kids,Parents,,,,,,,
Mega Fun Obby,Noobs,Pros,,,,,,,
Jailbreak,Cops,Robbers,,,,,,,
Roblox,Premium,Non - Premium,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,
# Bloxburg,,,,,,,,,
TEAM,Bloxburg,Bloxy,Coeptus Court,CSCT,95,CYHL,,,
TEAM,Bloxburg,Bloxy,Pizza Planet,PZPT,95,BBGM,,,
TEAM,Bloxburg,Bloxy,Mike's Motors,MKMO,90,SZSN,,,
TEAM,Bloxburg,Bloxy,Furniture Shop,FESP,90,BFFD,,,
TEAM,Bloxburg,Bloxy,GazBlox,GZBX,85,GNCN,,,
TEAM,Bloxburg,Bloxy,Beat Nightclub,BTNC,85,BYBG,,,
TEAM,Bloxburg,Bloxy,Bloxy Housing,BYHG,80,RDHG,,,
TEAM,Bloxburg,Riverside,Riverside Housing,RDHG,85,BYHG,,,
TEAM,Bloxburg,Riverside,Bloxy Burgers,BYBG,80,BTNC,,,
TEAM,Bloxburg,Riverside,Green Clean,GNCN,95,GZBX,,,
TEAM,Bloxburg,Riverside,BFF Food,BFFD,85,FESP,,,
TEAM,Bloxburg,Riverside,Stylez Salon,SZSN,90,MKMO,,,
TEAM,Bloxburg,Riverside,Bloxburg Gym,BBGM,95,PZPT,,,
TEAM,Bloxburg,Riverside,City Hall,CYHL,90,CSCT,,,
# Meepcity,,,,,,,,,
TEAM,Meepcity,Meeps,Pro Meeps,PRMP,95,BSAMC,,,
TEAM,Meepcity,Meeps,Platinum Meeps,PMMP,95,GAMC,,,
TEAM,Meepcity,Meeps,Diamond Meeps,DNMP,90,EMCP,,,
TEAM,Meepcity,Meeps,Gold Meeps,GDMP,90,FSTM,,,
TEAM,Meepcity,Meeps,Silver Meeps,SVMP,85,BTAMC,,,
TEAM,Meepcity,Meeps,Average Meeps,AGMP,85,OAMC,,,
TEAM,Meepcity,Meeps,Bronze Meeps,BZMP,80,NAMC,,,
TEAM,Meepcity,Non - Meeps,Noobs at MeepCity,NAMC,70,BZMP,,,
TEAM,Meepcity,Non - Meeps,OK at MeepCity,OAMC,75,AGMP,,,
TEAM,Meepcity,Non - Meeps,Better at MeepCity,BTAMC,75,SVMP,,,
TEAM,Meepcity,Non - Meeps,First Timers,FSTM,80,GDMP,,,
TEAM,Meepcity,Non - Meeps,Early MeepCity Players,EMCP,80,DNMP,,,
TEAM,Meepcity,Non - Meeps,Great at MeepCity,GAMC,85,PMMP,,,
TEAM,Meepcity,Non - Meeps,Best at MeepCity,BSAMC,85,PRMP,,,
# Adopt Me,,,,,,,,,
TEAM,Adopt Me,Kids,Babies,BBIS,80,ALXXX,,,
